Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Order,Prey Family,Prey Genus,Prey Species,Body Form,Habitat,Habit,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
240,07-05-2019,,GCTR4068,Trawler,,Longjaw thryssa,Clupeiformes,Engraulidae,,Thryssa setiostris,,,,,Yes,1,12.1,2.3,3,21,18,33.66,,Zua,
241,07-05-2019,,GCTR4069,Trawler,,Rough Flathead,Scorpaeniformes,Platycephalidae,,Grammoplites scaber,,,,,Yes,1,12.3,1.9,2.2,16,18,33.66,,Zua,
242,07-05-2019,,GCTR4070,Trawler,,Scaly hairfin Anchovy,Clupeiformes,Engraulidae,,Setipinna taty,,,,,Yes,1,8.9,1,2.2,7,18,33.66,,Zua,
243,08-05-2019,,GCGN4019,Gill Net,,Yellowtail Scad,Perciformes,Carangidae,,Atule mate,,,,,Yes,1,10.3,3,3.4,15,8,14.96,,Malvan,
244,08-05-2019,,GCGN4020,Gill Net,,Pedve,Clupeiformes,Clupeidae,,Sardinella gibbosa,,,,,Yes,1,11.9,2.4,3.6,17,8,14.96,,Malvan,
245,08-05-2019,,GCGN4021,Gill Net,,Yellowtail Scad,Perciformes,Carangidae,,Atule mate,,,,,Yes,1,11.5,2.8,3.6,16,8,14.96,                                                                                                                                                                          ,Malvan,
246,08-05-2019,,GCTR4071,Trawler,,Yellowtail Scad,Perciformes,Carangidae,,Atule mate,,,,,Yes,1,14,3.6,5.3,46,,,,,
247,08-05-2019,,GCTR4072,Trawler,,Malabar Thryssa,Clupeiformes,Engraulidae,,Thryssa malabarica,,,,,Yes,1,16.2,3.1,4.5,53,,,,,
248,08-05-2019,,GCTR4073,Trawler,,Smallscaled terapon,Perciformes,Actinopterygii,,Terapon puta,,,,,Yes,1,8.6,2.1,3.1,21,,,,,
249,09-05-2019,,GCGN4022,Gill Net,,Pedve,Clupeiformes,Clupeidae,,Sardinella gibbosa,,,,,Yes,1,10.5,2.8,3.2,18,8,,,Tarkarli,
250,09-05-2019,,GCGN4023,Gill Net,,False Trevally,Perciformes,Lactariidae,,Lactarius lactarius,,,,,Yes,1,10.2,2.7,3.5,22,8,,,Tarkarli,
251,09-05-2019,,GCGN4024,Gill Net,,Yellowtail Scad,Perciformes,Carangidae,,Atule mate,,,,,Yes,1,8.8,2.9,2.8,13,8,,,Tarkarli,
252,09-05-2019,,GCGN4025,Gill Net,,Pugnose Ponyfish,Perciformes,Leiognathidae,,Secutor insidiator,,,,,Yes,1,8.6,2.4,4.3,17,8,,,Tarkarli,
253,09-05-2019,,GCGN4026,Gill Net,,Ornate Ponyfish,Perciformes,Leiognathidae,,Leiognathus lineolatus,,,,,Yes,1,5.3,2.8,2.6,3,8,,,Tarkarli,
