Date,Boat name,Sample,Class,Item,Species,Quantity,Unit,Weight (kg),Rate (Price/kg),Total Price,Vendor,Remarks
13-11-2018,Gandharva,LVB90,Low Value Bycatch,Mixed trash fish,,0.25,Crate,7,0,0,,Discarded
01-11-2018,Kelbai,LVB88,Low Value Bycatch,Mixed trash fish,,1.25,Crate,41,4,164,Swapnil,Mostly anchovies and Acetes in LVB - hence sold for a very low rate!
02-11-2018,Vishaka,LVB89,Low Value Bycatch,Mixed trash fish,,8,Crate,268,13.5,3618,,
07-11-2018,Lakshmi,,Low Value Bycatch,Mixed trash fish,,16,Crate,734,13,9542,,"Made of mixed fish, pedve, kokri, catfish?"
09-11-2018,Kelbai,,Low Value Bycatch,Mixed trash fish,,22,Crate,700,12,8400,,Vendor unknown. No sample
15-11-2018,Dwarkadish,LVB91,Low Value Bycatch,Mixed trash fish,,8,Crate,201,14,2814,Swapnil,
24-11-2018,Om Sai,LVB93,Low Value Bycatch,Mixed trash fish,,1.25,Crate,35,15,525,,
27-11-2018,Kohinoor,LVB94,Low Value Bycatch,Mixed trash fish,,20,Crate,500,15.5,7750,Jepa Seafood,
29-11-2018,Ratna Bharti,T-291118-01,Low Value Bycatch,Mixed trash fish,,30,Crate,875,16,14000,,
03-12-2018,Ganadish,T-031218-01,Low Value Bycatch,Mixed trash fish,,30,Crate,900,16,14400,,
05-12-2018,Dolphin,T-051118-01,Low Value Bycatch,Mixed trash fish,,2.5,Crate,70,16,1120,,
11-12-2018,Dhanalakshmi,T-111218-01,Low Value Bycatch,Mixed trash fish,,,,23,16,368,,
12-12-2018,Omkar Ishwar,T-121218-01,Low Value Bycatch,Mixed trash fish,,0.75,Crate,21,16,336,,
18-12-2018,Dwarkadish,NS-181218-01,Low Value Bycatch,Mixed trash fish,,0.75,Crate,21,16,336,,
20-12-2018,Hemavati,,Low Value Bycatch,Mixed trash fish,,1,Crate,28,17,476,,Trash fish quantity estimated!
24-12-2018,Soumya,T-241218-01,Low Value Bycatch,Mixed trash fish,,2,Crate,56,17,952,,Trash fish kept on ice
02-01-2019,Hemavati,T-020119-01,Low Value Bycatch,Mixed trash fish,,1,Crate,32,17,544,,1 big crate
04-01-2019,Soumya,T-040119-01,Low Value Bycatch,Mixed trash fish,,,,6,17,102,,Mixed
28-01-2019,Mangal Moorthi,T-280119-01,Low Value Bycatch,Mixed trash fish,,1,Crate,31,17,527,,
30-01-2019,Omkar2,T-300119-01,Low Value Bycatch,Mixed trash fish,,0.2,Crate,5,15,75,,
05-02-2019,Kohinoor,,Low Value Bycatch,Mixed trash fish,,1,Crate,32,15,480,,
07-02-2019,Krantiveer,T-070219-01,Low Value Bycatch,Mixed trash fish,,2,Crate,56,17,952,,
11-02-2019,Soumya,T-110219-01,Low Value Bycatch,Mixed trash fish,,1,Crate,28,17,476,,
13-02-2019,Mansarovar,T-130219-01,Low Value Bycatch,Mixed trash fish,,7,Crate,196,15,2940,Swapnil,
19-02-2019,Audumbar,T-190219-01,Low Value Bycatch,Mixed trash fish,,4,Crate,112,15,1680,,
21-02-2019,Shri Ganesh,T-210219-01,Low Value Bycatch,Mixed trash fish,,7,Crate,224,16,3584,,"Includes 1 crate of ""fresh"" alepes and about 3kg ribbonfish"
25-02-2019,Vittal Krupa,T-250219-01,Low Value Bycatch,Mixed trash fish,,1,Crate,25,17,425,,
27-02-2019,Dhanalakshmi3,T-270219-01,Low Value Bycatch,Mixed trash fish,,0.75,Crate,20,17,340,,
04-03-2019,Kelbai,T-040319-01,Low Value Bycatch,Mixed trash fish,,1,Crate,32,16,512,,
08-03-2019,Siddaprasad,T-080319-01,Low Value Bycatch,Mixed trash fish,,2.67,Crate,75,16,1200,,
11-03-2019,Badrakali,T-110319-01,Low Value Bycatch,Mixed trash fish,,2,Crate,56,16,896,,
13-03-2019,Chintamani,T-130819-01,Low Value Bycatch,Mixed trash fish,,1,Crate,28,16,448,,
15-03-2019,Kohinoor,T-150819-01,Low Value Bycatch,Mixed trash fish,,2,Crate,56,16,896,,
18-03-2019,Badrakali,T-180319-01,Low Value Bycatch,Mixed trash fish,,2,Crate,56,16,896,Unknown,
21-03-2019,Nageshwar Prasad,T-210319-01,Low Value Bycatch,Mixed trash fish,,2,Crate,56,16,896,,
23-03-2019,Arundaye,T-230319-01,Low Value Bycatch,Mixed trash fish,,5,Crate,140,15,2100,,
25-03-2019,Badrakali,T-250319-01,Low Value Bycatch,Mixed trash fish,,1,Crate,32,15,480,Swapnil,1 full crate
29-03-2019,Gurudutt,T-290319-01,Low Value Bycatch,Mixed trash fish,,24,Crate,672,16,10752,,
04-04-2019,Mansarovar,,Low Value Bycatch,Mixed trash fish,,7,Crate,196,16.5,3234,,
08-04-2019,Dhanalakshmi,,Low Value Bycatch,Mixed trash fish,,2,Crate,56,16,896,,
17-04-2019,Dhanalakshmi2,T-170419-01,Low Value Bycatch,Mixed trash fish,,2,Crate,60,16,960,,
19-04-2019,Vishaka,T-190419-01,Low Value Bycatch,Mixed trash fish,,1,Crate,28,15,420,,
26-04-2019,Badrakali,T-260419-01,Low Value Bycatch,Mixed trash fish,,2,Crate,56,15,840,,
29-04-2019,Bahubali,,Low Value Bycatch,Mixed trash fish,,1,Crate,30,12,360,,
29-03-2019,Gurudutt,T-290319-01,High Value Species,Moon fish,Mene maculata,2,Crate,56,,,,
08-04-2019,Dhanalakshmi,,High Value Species,Moonfish,Mene maculata,0.33,Crate,9,,300,,
13-11-2018,Gandharva,LVB90,High Value Species,Mullets,,0.25,Crate,7,,460,,
27-11-2018,Kohinoor,LVB94,High Value Species,Mullets,,3,Basket,3,,250,,
12-12-2018,Omkar Ishwar,T-121218-01,High Value Species,Mullets,,1,Basket,1,,50,,"""Boyata"" in Marathi"
02-01-2019,Hemavati,T-020119-01,High Value Species,Mullets,,1,Basket,1,,50,,"Price guessed. ""Boyota"" in Marathi"
19-02-2019,Audumbar,T-190219-01,High Value Species,Mullets,,2,Basket,2,75,150,,
17-04-2019,Dhanalakshmi2,T-170419-01,High Value Species,Mullets,,1,Basket,1,50,50,,
07-02-2019,Krantiveer,T-070219-01,High Value Species,Nemipterus,Nemipterus japonicus,0.33,Crate,9,50,450,,Not sure of sold for trash or fresh. Price estimated
11-02-2019,Soumya,T-110219-01,High Value Species,Nemipterus,Nemipterus sp.,0.5,Crate,14,50,700,Swapnil,
27-02-2019,Dhanalakshmi3,T-270219-01,High Value Species,Nemipterus,Nemipterus sp.,1,Crate,23,80,1840,Woman Trader,Not sold for trash!
27-02-2019,Dhanalakshmi3,T-270219-01,High Value Species,Nemipterus,Nemipterus sp.,0.25,Crate,7,,700,,
06-11-2018,Pavnai,,High Value Species,Pedve,,,,428,12,5136,,Trash. Rate is lower than that of mixed??
09-11-2018,Kelbai,,High Value Species,Pedve,,3,Basket,3,50,150,,
29-11-2018,Ratna Bharti,T-291118-01,High Value Species,Pedve,,2.5,Crate,65,15,975,,Sold for oil/trash?
,,,High Value Species,Pedve,,2,Crate,56,,1200,,
01-11-2018,Kelbai,LVB88,High Value Species,Pomfret,Pampus sp.,1,Basket,1,,400,,
02-11-2018,Vishaka,LVB89,High Value Species,Pomfret,Pampus sp.,1,Basket,1,500,500,,
09-11-2018,Kelbai,,High Value Species,Pomfret,Pampus sp.,,,8,550,4400,,
09-11-2018,Kelbai,,High Value Species,Pomfret,Pampus sp.,,,,700,,,Didn't get sold?
03-12-2018,Ganadish,T-031218-01,High Value Species,Pomfret,Pampus sp.,,,5,,4100,,
11-12-2018,Dhanalakshmi,T-111218-01,High Value Species,Pomfret,Pampus sp.,3,Number,0.5,,450,,
12-12-2018,Omkar Ishwar,T-121218-01,High Value Species,Pomfret,Pampus sp.,,,5,,4000,,
12-12-2018,Omkar Ishwar,T-121218-01,High Value Species,Pomfret,Pampus sp.,3,Number,0.5,,150,,
25-12-2018,Darya Sagar,NS-251218-01,High Value Species,Pomfret,Pampus sp.,,,4,,1100,,
04-01-2019,Soumya,T-040119-01,High Value Species,Pomfret,Pampus sp.,,,1.6,,1200,,
09-01-2019,Vishaka,,High Value Species,Pomfret,Pampus sp.,,,5,900,4500,,
05-02-2019,Kohinoor,,High Value Species,Pomfret,Pampus sp.,1,Crate,20,1200,24000,,Estimated weight and price :(
13-02-2019,Mansarovar,T-130219-01,High Value Species,Pomfret,Pampus sp.,,,2.2,,2050,,"1.6kg big, 0.6kg small. Price party estimated"
19-02-2019,Audumbar,T-190219-01,High Value Species,Pomfret,Pampus sp.,2,Number,0.5,,500,,Estimated
23-03-2019,Arundaye,T-230319-01,High Value Species,Pomfret,Pampus sp.,,,9,,,,Estimate!
29-03-2019,Gurudutt,T-290319-01,High Value Species,Pomfret,Pampus sp.,2,Crate,44,1100,48400,,Weight estimated as ~22/crate. Price is the initial sale price
29-04-2019,Bahubali,,High Value Species,Pomfret,Pampus sp.,,,4,900,3600,,
29-04-2019,Bahubali,,High Value Species,Pomfret,Pampus sp.,1,Crate,12,800,9600,,
07-11-2018,Lakshmi,,High Value Species,Pomfret,Pampus sp.,,,9,650,5850,,
13-11-2018,Gandharva,LVB90,High Value Species,Pomfret,Pampus sp.,0.25,Crate,6,900,5400,,Estimated quantity
27-11-2018,Kohinoor,LVB94,High Value Species,Pomfret,Pampus sp.,1,Crate,27.5,700,19250,,
29-11-2018,Ratna Bharti,T-291118-01,High Value Species,Pomfret,Pampus sp.,,,5.5,800,4400,,
09-01-2019,Vishaka,,High Value Species,Pomfret,Pampus sp.,,,2,1000,2000,,
29-11-2018,Ratna Bharti,T-291118-01,High Value Species,Pomfret,Pampus sp.,,,2,600,1200,,
07-11-2018,Lakshmi,,High Value Species,Pomfret,Pampus sp.,,,7,450,3150,,
13-11-2018,Gandharva,LVB90,High Value Species,Pomfret,Pampus sp.,0.25,Crate,7,800,5600,,Estimated quantity
24-11-2018,Om Sai,LVB93,High Value Species,Pomfret,Pampus sp.,,,2,,1100,,
27-11-2018,Kohinoor,LVB94,High Value Species,Pomfret,Pampus sp.,1,Crate,27.5,450,12375,,"55kg pomfret in total, but not sure of the quantities and rates of small and large!"
29-11-2018,Ratna Bharti,T-291118-01,High Value Species,Pomfret,Pampus sp.,,,9,414,3725,,
07-02-2019,Krantiveer,T-070219-01,High Value Species,Pomfret,Pampus sp.,2,Basket,2,,750,,"750 for pomfret, surmai and sharks"
18-03-2019,Badrakali,T-180319-01,High Value Species,Pomfret,Pampus sp.,,,1.5,,600,,Also 2 small surmai
11-02-2019,Soumya,T-110219-01,High Value Species,Pomfret,Pampus sp.,,,2,,650,,
02-11-2018,Vishaka,LVB89,High Value Species,Ponyfish,,0.2,Crate,6,,250,,
03-11-2018,Shri Siddesh,NS18,High Value Species,Ponyfish,,0.5,Crate,14,,500,,
09-11-2018,Kelbai,,High Value Species,Ponyfish,,,,,,,,Quantity unknown. Didn't get sold
24-11-2018,Om Sai,LVB93,High Value Species,Ponyfish,,1,Crate,28,,1000,,
27-11-2018,Kohinoor,LVB94,High Value Species,Ponyfish,,0.33,Crate,9,,400,,
12-12-2018,Omkar Ishwar,T-121218-01,High Value Species,Ponyfish,,1,Basket,1,,100,,
24-12-2018,Soumya,T-241218-01,High Value Species,Ponyfish,,0.5,Basket,0.5,,50,,Guessed
25-12-2018,Darya Sagar,NS-251218-01,High Value Species,Ponyfish,,0.2,Crate,5,,,Woman Trader,
04-01-2019,Soumya,T-040119-01,High Value Species,Ponyfish,,0.25,Crate,7,,200,,
19-01-2019,Om Sai,,High Value Species,Ponyfish,Secutor sp.,2,Crate,56,,500,,
,,,High Value Species,Ponyfish,,0.5,Crate,14,,400,,
28-01-2019,Mangal Moorthi,T-280119-01,High Value Species,Ponyfish,,1,Basket,1,,,,
05-02-2019,Kohinoor,,High Value Species,Ponyfish,,2,Crate,56,,3200,,
11-02-2019,Soumya,T-110219-01,High Value Species,Ponyfish,,0.5,Basket,0.5,,50,,Price estimated
13-02-2019,Mansarovar,T-130219-01,High Value Species,Ponyfish,,1,Basket,1,,50,,
04-03-2019,Kelbai,T-040319-01,High Value Species,Ponyfish,,,,4,,200,,"Starting price was 500, but no takers"
11-03-2019,Badrakali,T-110319-01,High Value Species,Ponyfish,,0.25,Crate,7,,400,,
11-03-2019,Badrakali,T-110319-01,High Value Species,Ponyfish,,1,Basket,1,,50,,Estimated
15-03-2019,Kohinoor,T-150819-01,High Value Species,Ponyfish,,1,Basket,1,50,50,,
15-03-2019,Kohinoor,T-150819-01,High Value Species,Ponyfish,,1,Crate,28,,2100,,
18-03-2019,Badrakali,T-180319-01,High Value Species,Ponyfish,,0.5,Basket,0.5,,50,,Along with a few rabbitfish
23-03-2019,Arundaye,T-230319-01,High Value Species,Ponyfish,,0.5,Basket,0.5,,,,
25-03-2019,Badrakali,T-250319-01,High Value Species,Ponyfish,,0.33,Crate,8,,750,,
17-04-2019,Dhanalakshmi2,T-170419-01,High Value Species,Ponyfish,,1,Basket,1,50,50,,
19-04-2019,Vishaka,T-190419-01,High Value Species,Ponyfish,,1,Basket,1,500,500,,Very high! Re-confirm?
26-04-2019,Badrakali,T-260419-01,High Value Species,Ponyfish,,0.25,Crate,7,,300,,
09-11-2018,Kelbai,,High Value Species,Queenfish,Scomberoides sp.,,,,,,,Quantity unknown. Didn't get sold
27-11-2018,Kohinoor,LVB94,High Value Species,Queenfish,Scomberoides sp.,0.5,Crate,13.5,65,877.5,,
05-12-2018,Dolphin,T-051118-01,High Value Species,Queenfish,Scomberoides sp.,1,Basket,1,,100,,Guessed
05-02-2019,Kohinoor,,High Value Species,Queenfish,Scomberoides sp.,1.5,Basket,2,,150,,
11-02-2019,Soumya,T-110219-01,High Value Species,Queenfish,Scomberoides sp.,1,Number,,,,,
13-02-2019,Mansarovar,T-130219-01,High Value Species,Queenfish,Scomberoides sp.,1,Basket,1.5,,100,,Price guessed
23-03-2019,Arundaye,T-230319-01,High Value Species,Queenfish,Scomberoides sp.,0.5,Basket,0.5,,,,
25-03-2019,Badrakali,T-250319-01,High Value Species,Queenfish,Scomberoides sp.,1,Basket,1,,50,,
02-11-2018,Vishaka,LVB89,High Value Species,Queenfish + Cobia +1shark,,0.25,Crate,7.5,,280,,
09-01-2019,Vishaka,,High Value Species,Rani,Nemipterus japonicus,2,Basket,2,,130,,
30-01-2019,Omkar2,T-300119-01,High Value Species,Rani,,,,5,40,200,,
05-02-2019,Kohinoor,,High Value Species,Rani,Nemipterus japonicus,0.5,Crate,14,,700,,
25-02-2019,Vittal Krupa,T-250219-01,High Value Species,Rani,Nemipterus sp.,0.5,Crate,14,50,700,,
15-11-2018,Dwarkadish,LVB91,High Value Species,Rays,,0.25,Crate,7,,500,,"29 scaly whipray, 1 blue spotted. Pic"
01-11-2018,Kelbai,LVB88,High Value Species,Ribbonfish,,1,Crate,28,,840,,
02-11-2018,Vishaka,LVB89,High Value Species,Ribbonfish,,2,Crate,47,14,658,,
25-12-2018,Darya Sagar,NS-251218-01,High Value Species,Ribbonfish,,1,Crate,25,25,625,Woman Trader,Sold for drying
04-01-2019,Soumya,T-040119-01,High Value Species,Ribbonfish,,,,9,25,225,,Sold for drying
09-01-2019,Vishaka,,High Value Species,Ribbonfish,,6,Crate,180,30,5400,,
28-01-2019,Mangal Moorthi,T-280119-01,High Value Species,Ribbonfish,,0.5,Crate,10,30,300,,
30-01-2019,Omkar2,T-300119-01,High Value Species,Ribbonfish,,0.33,Crate,12,28,336,,
05-02-2019,Kohinoor,,High Value Species,Ribbonfish,,,,15,40,600,,
13-02-2019,Mansarovar,T-130219-01,High Value Species,Ribbonfish,,1,Crate,25,30,750,Woman Trader,Sold for drying
08-03-2019,Siddaprasad,T-080319-01,High Value Species,Ribbonfish,,,,2,16,32,,Also most likely sold as trash
15-03-2019,Kohinoor,T-150819-01,High Value Species,Ribbonfish,,0.25,Crate,7,,350,,
04-04-2019,Mansarovar,,High Value Species,Ribbonfish,,0.75,Crate,21,30,630,,
12-12-2018,Omkar Ishwar,T-121218-01,High Value Species,Saranga?,,6,Number,6,,800,,What species?? Weight guessed
03-11-2018,Shri Siddesh,NS18,High Value Species,Sardines,,1,Basket,1,13,13,Swapnil,"Couldn’t be auctioned off, so sold as trash. Mostly A. chacunda"
13-11-2018,Gandharva,LVB90,High Value Species,Sardines,,2.25,Crate,63,,1430,,Some of this (500) is estimated
27-11-2018,Kohinoor,LVB94,High Value Species,Sardines,Sardinella sp.,1,Crate,28,,700,,
12-12-2018,Omkar Ishwar,T-121218-01,High Value Species,Sardines,,0.75,Crate,21,,500,,
25-12-2018,Darya Sagar,NS-251218-01,High Value Species,Sardines,,0.5,Crate,14,,450,Woman Trader,For sardines + ponyfish. Price estimated
05-02-2019,Kohinoor,,High Value Species,Sardines,,2,Crate,56,,2500,,
07-02-2019,Krantiveer,T-070219-01,High Value Species,Sardines,,0.2,Crate,5,,200,,
23-03-2019,Arundaye,T-230319-01,High Value Species,Sardines,,2,Basket,2,40,,,
29-03-2019,Gurudutt,T-290319-01,High Value Species,Sardines,,0.5,Crate,14,,,,
08-04-2019,Dhanalakshmi,,High Value Species,Sardines,,1,Basket,1,50,50,,
17-04-2019,Dhanalakshmi2,T-170419-01,High Value Species,Sardines,,2,Basket,2,50,100,,
02-11-2018,Vishaka,LVB89,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,,500,,
13-11-2018,Gandharva,LVB90,High Value Species,Saundala,Lactarius lactarius,0.2,Crate,5,,805,,
27-11-2018,Kohinoor,LVB94,High Value Species,Saundala,Lactarius lactarius,1,Crate,28,,1850,,
27-11-2018,Kohinoor,LVB94,High Value Species,Saundala,Lactarius lactarius,3,Basket,3,150,450,,
29-11-2018,Ratna Bharti,T-291118-01,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,,100,,
03-12-2018,Ganadish,T-031218-01,High Value Species,Saundala,Lactarius lactarius,0.5,Crate,14,,1600,,
05-12-2018,Dolphin,T-051118-01,High Value Species,Saundala,Lactarius lactarius,,,5,,120,,Noted from agent
12-12-2018,Omkar Ishwar,T-121218-01,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,,300,,
24-12-2018,Soumya,T-241218-01,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,100,200,,
25-12-2018,Darya Sagar,NS-251218-01,High Value Species,Saundala,Lactarius lactarius,1.25,Crate,35,,2800,,
02-01-2019,Hemavati,T-020119-01,High Value Species,Saundala,Lactarius lactarius,1,Basket,1,,80,,
28-01-2019,Mangal Moorthi,T-280119-01,High Value Species,Saundala,Lactarius lactarius,1,Basket,1,,200,,
05-02-2019,Kohinoor,,High Value Species,Saundala,Lactarius lactarius,3,Basket,3,,450,,
10-02-2019,Akash,,High Value Species,Saundala,Lactarius lactarius,3,Basket,3,,350,,Price estimated
11-02-2019,Soumya,T-110219-01,High Value Species,Saundala,Lactarius lactarius,4.5,Basket,4.5,,350,,Price estimated
13-02-2019,Mansarovar,T-130219-01,High Value Species,Saundala,Lactarius lactarius,0.66,Crate,18,,2500,,
21-02-2019,Shri Ganesh,T-210219-01,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,200,400,,
04-03-2019,Kelbai,T-040319-01,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,,200,,Estimated
11-03-2019,Badrakali,T-110319-01,High Value Species,Saundala,Lactarius lactarius,1,Basket,1,,,,Sold with croakers
18-03-2019,Badrakali,T-180319-01,High Value Species,Saundala,Lactarius lactarius,4,Basket,4,,700,,
21-03-2019,Nageshwar Prasad,T-210319-01,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,250,500,,
23-03-2019,Arundaye,T-230319-01,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,,500,,
04-04-2019,Mansarovar,,High Value Species,Saundala,Lactarius lactarius,0.5,Crate,14,,850,,
17-04-2019,Dhanalakshmi2,T-170419-01,High Value Species,Saundala,Lactarius lactarius,1,Basket,1,180,180,,
19-04-2019,Vishaka,T-190419-01,High Value Species,Saundala,Lactarius lactarius,1,Basket,1,400,400,,Very high! Re-confirm?
26-04-2019,Badrakali,T-260419-01,High Value Species,Saundala,Lactarius lactarius,1,Basket,1,200,200,,
15-11-2018,Dwarkadish,LVB91,High Value Species,Saundala,Lactarius lactarius,1,Basket,1,200,200,,
04-03-2019,Kelbai,T-040319-01,High Value Species,Saundala,Lactarius lactarius,0.2,Crate,5,,1400,,
15-11-2018,Dwarkadish,LVB91,High Value Species,Saundala,Lactarius lactarius,2,Basket,2,,50,,1 basket unsold
29-11-2018,Ratna Bharti,T-291118-01,Elasmobranchs,Scalloped hammerhead,Sphyrna lewini,1,Number,0.5,,,,
19-11-2018,Vittal Krupa,,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,3,Number,1,50,50,,Sold to centre - price estimated
23-11-2018,Nageshwar Prasad,,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,30,Number,10,,450,,"1/3rd crate. Mostly adults, but few juveniles"
27-11-2018,Kohinoor,LVB94,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,20,Number,6,,150,,Elasmobranch sheet for measurements
29-11-2018,Ratna Bharti,T-291118-01,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,1,Number,0.5,,33,,Elasmobranch sheet for measurements
06-12-2018,Omkar2,,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,3,Number,1.5,,,,
02-01-2019,Hemavati,T-020119-01,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,1,Number,0.5,,,,Sold along with the flatfish (price guessed)
10-02-2019,Akash,,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,8,Number,2,,,,
11-02-2019,Soumya,T-110219-01,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,2,Number,0.5,,,,"Was one more, discarded"
04-03-2019,Kelbai,T-040319-01,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,2,Number,0.5,,50,,
11-03-2019,Badrakali,T-110319-01,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,8,Number,1.5,,,,Small and medium sized
25-03-2019,Badrakali,T-250319-01,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,9,Number,1.5,,350,,
08-04-2019,Dhanalakshmi,,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,1,Number,0.2,0,0,,Free
17-04-2019,Dhanalakshmi2,T-170419-01,Elasmobranchs,Scaly whipray,Brevitrygon imbricata,1,Number,,,,,Sold along with flatfish
23-03-2019,Arundaye,T-230319-01,Elasmobranchs,Sharks,,,,1.9,500,950,,
07-11-2018,Lakshmi,,Elasmobranchs,Sharks,,,,10,,300,,
13-11-2018,Gandharva,LVB90,Elasmobranchs,Sharks,,0.33,Crate,10,,850,,"Spadenose (with a few neonates), hammerheads, 1 unknown shark. Pic"
07-11-2018,Lakshmi,,Shrimp,Shrimp,,22,Basket,25,,5500,,
13-11-2018,Gandharva,LVB90,Shrimp,Shrimp,,4,Basket,6,,800,,Big baskets = about 1.5kg each
16-11-2018,Om Sai,,Shrimp,Shrimp,,27,Basket,27,,5830,,Which shrimp? Pollen?
19-11-2018,Vittal Krupa,,Shrimp,Shrimp,,1,Basket,1,200,200,,Pollen?
27-11-2018,Kohinoor,LVB94,Shrimp,Shrimp,,1,Basket,2,300,300,,Big basket
03-12-2018,Ganadish,T-031218-01,Shrimp,Shrimp,,2,Basket,2,,600,,
24-12-2018,Soumya,T-241218-01,Shrimp,Shrimp,,6,Basket,6,,1480,,Species unknown
17-01-2019,Kelbai,,Shrimp,Shrimp,,,,29,300,8700,,
05-02-2019,Kohinoor,,Shrimp,Shrimp,,2,Basket,1,,250,,two small baskets
25-02-2019,Vittal Krupa,T-250219-01,Shrimp,Shrimp,,4,Basket,3.2,,0,,Personal consumption
11-03-2019,Badrakali,T-110319-01,Shrimp,Shrimp,,6,Basket,9.6,,600,,Partly estimated
13-03-2019,Chintamani,T-130819-01,Shrimp,Shrimp,,3,Basket,2.25,,1300,,
13-03-2019,Chintamani,T-130819-01,Shrimp,Shrimp,,1,Basket,0.75,,100,,
15-03-2019,Kohinoor,T-150819-01,Shrimp,Shrimp,,1,Basket,0.75,,400,,
04-04-2019,Mansarovar,,Shrimp,Shrimp,,,,7.5,200,1500,,
08-04-2019,Dhanalakshmi,,Shrimp,Shrimp,,6,Basket,4.5,,1000,,1 basket given away free
17-04-2019,Dhanalakshmi2,T-170419-01,Shrimp,Shrimp,,,,7.5,200,1500,,
19-04-2019,Vishaka,T-190419-01,Shrimp,Shrimp,,2,Basket,1.5,,260,,
26-04-2019,Badrakali,T-260419-01,Shrimp,Shrimp,,32,Basket,24,,,,
15-11-2018,Dwarkadish,LVB91,Shrimp,Shrimp - chalu,,50,Basket,50,,20000,,
19-11-2018,Vittal Krupa,,Shrimp,Shrimp - chalu,,14,Basket,14,,3475,,1 basket kept for personal use. 9 baskets sold to centre for 220-230/kg
23-11-2018,Nageshwar Prasad,,Shrimp,Shrimp - chalu,,2,Basket,2,200,400,,
24-11-2018,Om Sai,LVB93,Shrimp,Shrimp - chalu,,4,Basket,4,,940,,
06-12-2018,Omkar2,,Shrimp,Shrimp - chalu,,1,Basket,1,200,200,,
11-12-2018,Dhanalakshmi,T-111218-01,Shrimp,Shrimp - chalu,,9,Basket,9,450,4050,,
18-12-2018,Dwarkadish,NS-181218-01,Shrimp,Shrimp - chalu,,2,Basket,2,,500,,"1 sold for 300, other for 200"
24-12-2018,Soumya,T-241218-01,Shrimp,Shrimp - chalu,,18,Basket,18,,7435,,"Rates starting from 500, down to 350"
02-01-2019,Hemavati,T-020119-01,Shrimp,Shrimp - chalu,,2,Basket,2,400,800,,
04-01-2019,Soumya,T-040119-01,Shrimp,Shrimp - chalu,,,,8,450,3600,,
28-01-2019,Mangal Moorthi,T-280119-01,Shrimp,Shrimp - chalu,,,,23,300,6900,,
30-01-2019,Omkar2,T-300119-01,Shrimp,Shrimp - chalu,,21,Basket,21,,,,Sold a few for 350. Didn't record the rest
10-02-2019,Akash,,Shrimp,Shrimp - chalu,,4,Basket,3.2,,1600,,Price partly estimated'
11-02-2019,Soumya,T-110219-01,Shrimp,Shrimp - chalu,,,,6,450,2700,,
25-02-2019,Vittal Krupa,T-250219-01,Shrimp,Shrimp - chalu,,9,Basket,7.2,,,,One sold for 400. Don't know rate of rest
04-03-2019,Kelbai,T-040319-01,Shrimp,Shrimp - chalu,,,,6.5,,,Centre,"Sent to centre, rate unknown"
11-03-2019,Badrakali,T-110319-01,Shrimp,Shrimp - chalu,,8,Basket,6.4,,2000,Centre,250/basket
23-03-2019,Arundaye,T-230319-01,Shrimp,Shrimp - chalu,,10.5,Basket,8.4,500,,,
27-02-2019,Dhanalakshmi3,T-270219-01,Shrimp,Shrimp - Kaapshi,,4,Basket,4,450,1800,,Some were alive
06-12-2018,Omkar2,,Shrimp,Shrimp - Pollen,,7,Basket,7,120,840,,
11-12-2018,Dhanalakshmi,T-111218-01,Shrimp,Shrimp - Pollen,,5,Basket,5,300,1500,,Guessed price for the last two baskets
18-12-2018,Dwarkadish,NS-181218-01,Shrimp,Shrimp - Pollen,,3,Basket,2.5,,270,,Approx 800-900g per basket. Price guessed
02-01-2019,Hemavati,T-020119-01,Shrimp,Shrimp - Pollen,,29,Basket,24.5,,2950,,Taken as approx 0.85kg per basket
28-01-2019,Mangal Moorthi,T-280119-01,Shrimp,Shrimp - Pollen,,1,Basket,0.75,,70,,
30-01-2019,Omkar2,T-300119-01,Shrimp,Shrimp - Pollen,,1,Basket,1,120,120,,Big baskets
11-02-2019,Soumya,T-110219-01,Shrimp,Shrimp - Pollen,,2,Basket,2,250,500,,Big baskets
04-03-2019,Kelbai,T-040319-01,Shrimp,Shrimp - Pollen,,0.5,Basket,0.5,,,Centre,"Sent to centre, rate unknown"
23-03-2019,Arundaye,T-230319-01,Shrimp,Shrimp - Pollen,,6.5,Basket,5.2,300,,,
