"","lon","lat","depth"
"1",73.1020833333333,16.5979166666667,-41.9131469726562
"2",73.10625,16.5979166666667,-41.1342163085938
"3",73.1104166666667,16.5979166666667,-40.6115455627441
"4",73.1145833333333,16.5979166666667,-40.3496971130371
"5",73.11875,16.5979166666667,-40.1841812133789
"6",73.1229166666667,16.5979166666667,-40.0959320068359
"7",73.1270833333333,16.5979166666667,-40.160945892334
"8",73.13125,16.5979166666667,-40.3922424316406
"9",73.1354166666667,16.5979166666667,-40.6912651062012
"10",73.1395833333333,16.5979166666667,-40.676399230957
"11",73.14375,16.5979166666667,-40.0918045043945
"12",73.1479166666667,16.5979166666667,-39.206615447998
"13",73.1520833333333,16.5979166666667,-38.3062400817871
"14",73.15625,16.5979166666667,-37.4868011474609
"15",73.1604166666667,16.5979166666667,-36.7118263244629
"16",73.1645833333333,16.5979166666667,-35.963623046875
"17",73.16875,16.5979166666667,-35.2487678527832
"18",73.1729166666667,16.5979166666667,-34.485050201416
"19",73.1770833333333,16.5979166666667,-33.7427673339844
"20",73.18125,16.5979166666667,-32.9926338195801
"21",73.1854166666667,16.5979166666667,-32.1374282836914
"22",73.1895833333333,16.5979166666667,-31.3044147491455
"23",73.19375,16.5979166666667,-30.6620082855225
"24",73.1979166666667,16.5979166666667,-30.2109680175781
"25",73.2020833333333,16.5979166666667,-29.8052158355713
"26",73.20625,16.5979166666667,-29.3933334350586
"27",73.2104166666667,16.5979166666667,-28.9457015991211
"28",73.2145833333333,16.5979166666667,-28.4434986114502
"29",73.21875,16.5979166666667,-27.9247035980225
"30",73.2229166666667,16.5979166666667,-27.4247169494629
"31",73.2270833333333,16.5979166666667,-26.9069805145264
"32",73.23125,16.5979166666667,-26.3645820617676
"33",73.2354166666667,16.5979166666667,-25.8312454223633
"34",73.2395833333333,16.5979166666667,-25.3045806884766
"35",73.24375,16.5979166666667,-24.7732086181641
"36",73.2479166666667,16.5979166666667,-24.2779769897461
"37",73.2520833333333,16.5979166666667,-23.8506507873535
"38",73.25625,16.5979166666667,-23.4486923217773
"39",73.2604166666667,16.5979166666667,-22.9836521148682
"40",73.2645833333333,16.5979166666667,-22.4432888031006
"41",73.26875,16.5979166666667,-21.8616313934326
"42",73.2729166666667,16.5979166666667,-21.1156940460205
"43",73.2770833333333,16.5979166666667,-19.8709983825684
"44",73.28125,16.5979166666667,-18.0835571289062
"45",73.2854166666667,16.5979166666667,-16.0707054138184
"46",73.2895833333333,16.5979166666667,-14.2834711074829
"47",73.29375,16.5979166666667,-13.560887336731
"48",73.2979166666667,16.5979166666667,-13.9172897338867
"49",73.3020833333333,16.5979166666667,-14.5144834518433
"50",73.30625,16.5979166666667,-14.4615106582642
"51",73.3104166666667,16.5979166666667,-12.4001750946045
"52",73.3145833333333,16.5979166666667,-9.43024063110352
"53",73.1020833333333,16.59375,-42.275993347168
"54",73.10625,16.59375,-41.6135559082031
"55",73.1104166666667,16.59375,-41.0852661132812
"56",73.1145833333333,16.59375,-40.687744140625
"57",73.11875,16.59375,-40.3511428833008
"58",73.1229166666667,16.59375,-40.0846366882324
"59",73.1270833333333,16.59375,-40.030330657959
"60",73.13125,16.59375,-40.1700859069824
"61",73.1354166666667,16.59375,-40.282039642334
"62",73.1395833333333,16.59375,-40.1418838500977
"63",73.14375,16.59375,-39.6057472229004
"64",73.1479166666667,16.59375,-38.7762985229492
"65",73.1520833333333,16.59375,-37.8431930541992
"66",73.15625,16.59375,-36.9328536987305
"67",73.1604166666667,16.59375,-36.1893424987793
"68",73.1645833333333,16.59375,-35.6159133911133
"69",73.16875,16.59375,-35.078441619873
"70",73.1729166666667,16.59375,-34.474910736084
"71",73.1770833333333,16.59375,-33.8613586425781
"72",73.18125,16.59375,-33.1992111206055
"73",73.1854166666667,16.59375,-32.4321212768555
"74",73.1895833333333,16.59375,-31.7034664154053
"75",73.19375,16.59375,-31.0750751495361
"76",73.1979166666667,16.59375,-30.5184307098389
"77",73.2020833333333,16.59375,-29.9422512054443
"78",73.20625,16.59375,-29.3194274902344
"79",73.2104166666667,16.59375,-28.7215843200684
"80",73.2145833333333,16.59375,-28.1501693725586
"81",73.21875,16.59375,-27.5515213012695
"82",73.2229166666667,16.59375,-26.9408683776855
"83",73.2270833333333,16.59375,-26.4238395690918
"84",73.23125,16.59375,-25.9899406433105
"85",73.2354166666667,16.59375,-25.5164966583252
"86",73.2395833333333,16.59375,-24.9792823791504
"87",73.24375,16.59375,-24.4177207946777
"88",73.2479166666667,16.59375,-23.9367198944092
"89",73.2520833333333,16.59375,-23.521505355835
"90",73.25625,16.59375,-23.0842132568359
"91",73.2604166666667,16.59375,-22.6181774139404
"92",73.2645833333333,16.59375,-22.1157894134521
"93",73.26875,16.59375,-21.5442352294922
"94",73.2729166666667,16.59375,-20.8000030517578
"95",73.2770833333333,16.59375,-19.6972713470459
"96",73.28125,16.59375,-18.1734523773193
"97",73.2854166666667,16.59375,-16.2899284362793
"98",73.2895833333333,16.59375,-14.494574546814
"99",73.29375,16.59375,-13.8330783843994
"100",73.2979166666667,16.59375,-14.3587245941162
"101",73.3020833333333,16.59375,-15.1292943954468
"102",73.30625,16.59375,-15.0779600143433
"103",73.3104166666667,16.59375,-13.1469049453735
"104",73.3145833333333,16.59375,-10.1236305236816
"105",73.31875,16.59375,-8.65040493011475
"106",73.4104166666667,16.59375,0.51953125
"107",73.1020833333333,16.5895833333333,-42.6129722595215
"108",73.10625,16.5895833333333,-42.013313293457
"109",73.1104166666667,16.5895833333333,-41.4896469116211
