"","x","y","GillNet","Trawler","HC","HS","mean.depth","rel.prop"
"1",73.1287833333333,15.8703703,0,0,0,0,-66.6959411005475,NA
"2",73.1287833333333,15.8976703,0,0,0,0,-65.1094889086327,NA
"3",73.1287833333333,15.9249703,0,0,0,0,-65.1332535226307,NA
"4",73.1287833333333,15.9522703,0,0,0,0,-64.7495247346207,NA
"5",73.1287833333333,15.9795703,0,0,0,0,-72.5341382262878,NA
"6",73.1287833333333,16.0068703,0,0,0,0,-73.9883560349968,NA
"7",73.1287833333333,16.0341703,0,0,0,0,-59.3667944014431,NA
"8",73.1287833333333,16.0614703,0,23.7671044947153,0,0,-55.8986381356057,NA
"9",73.1287833333333,16.0887703,0,0.232857007415784,0,0,-59.1366613738094,NA
"10",73.1287833333333,16.1160703,0,17.8324377340908,0,0,-57.1137913008058,NA
"11",73.1287833333333,16.1433703,0,0.162579671761116,0,0,-53.1113054591989,NA
"12",73.1287833333333,16.1706703,0,0,0,0,-55.7718290651575,NA
"13",73.1287833333333,16.1979703,0,0,0,0,-57.4736779001672,NA
"14",73.1287833333333,16.2252703,0,0,0,0,-55.2681239608644,NA
"15",73.1287833333333,16.2525703,0,0,0,0,-53.2534234553067,NA
"16",73.1287833333333,16.2798703,0,0,0,0,-51.3663509256461,NA
"17",73.1287833333333,16.3071703,0,0,0,0,-49.6906352583506,NA
"18",73.1287833333333,16.3344703,0,0,0,0,-49.0569537388818,NA
"19",73.1287833333333,16.3617703,0,0,0,0,-48.6665551961103,NA
"20",73.1571833333333,15.8703703,0,0,0,0,-62.8744263599634,NA
"21",73.1571833333333,15.8976703,0,0,0,0,-62.0287317676213,NA
"22",73.1571833333333,15.9249703,0,0,0,0,-64.7664331368365,NA
"23",73.1571833333333,15.9522703,0,0,0,0,-62.2517016612407,NA
"24",73.1571833333333,15.9795703,0,0,0,0,-67.7724262960536,NA
"25",73.1571833333333,16.0068703,0,0,0,0,-65.4626769844464,NA
"26",73.1571833333333,16.0341703,0,0,0,0,-58.307294066203,NA
"27",73.1571833333333,16.0614703,0,0.00906429581258847,0,0,-56.5424770855767,NA
"28",73.1571833333333,16.0887703,0,8.88069809984673e-05,0,0,-55.0454016400577,NA
"29",73.1571833333333,16.1160703,0,0.00680093322757531,0,0,-50.5030079658507,NA
"30",73.1571833333333,16.1433703,0,6.20046181176158e-05,0,0,-55.7347186273713,NA
"31",73.1571833333333,16.1706703,0,0,0,0,-56.9896034265221,NA
"32",73.1571833333333,16.1979703,0,0,0,0,-51.345799727921,NA
"33",73.1571833333333,16.2252703,0,0,0,0,-52.4900412665692,NA
"34",73.1571833333333,16.2525703,0,0,0,0,-51.809958512678,NA
"35",73.1571833333333,16.2798703,0,0,0,0,-47.8087946340682,NA
"36",73.1571833333333,16.3071703,0,0,0,0,-46.303402968323,NA
"37",73.1571833333333,16.3344703,0,0,0,0,-45.9601868842017,NA
"38",73.1571833333333,16.3617703,0,0,0,0,-48.7184552483964,NA
"39",73.1855833333333,15.8703703,0,0,0,0,-61.3376224425087,NA
"40",73.1855833333333,15.8976703,0,0,0,0,-58.7830639581621,NA
"41",73.1855833333333,15.9249703,0,0,0,0,-62.2774070244506,NA
"42",73.1855833333333,15.9522703,0,0,0,0,-61.1610151165526,NA
"43",73.1855833333333,15.9795703,0,0,0,0,-54.4876566275636,NA
"44",73.1855833333333,16.0068703,0,0,0,0,-53.7991421065028,NA
"45",73.1855833333333,16.0341703,0,0,0,0,-53.4385689165895,NA
"46",73.1855833333333,16.0614703,0,0,0,0,-52.2300872199862,NA
"47",73.1855833333333,16.0887703,0,0,0,0,-50.0634133776473,NA
"48",73.1855833333333,16.1160703,0,5.93961195587681,1.97987065195894,0,-46.2121166066504,1
"49",73.1855833333333,16.1433703,0,0.0541518875082778,0.0180506291694259,0,-47.4782683010804,1
"50",73.1855833333333,16.1706703,0,0,0,0,-48.010417135997,NA
"51",73.1855833333333,16.1979703,0,23.7974451515319,0,0,-38.374648532601,NA
"52",73.1855833333333,16.2252703,0,0.167662637592395,0,0,-39.6225354600752,NA
"53",73.1855833333333,16.2525703,0,0,0,0,-47.4412987681533,NA
"54",73.1855833333333,16.2798703,0,0,0,0,-44.7721274722532,NA
"55",73.1855833333333,16.3071703,0,0,0,0,-41.7338483401351,NA
"56",73.1855833333333,16.3344703,0,0,0,0,-42.5319349815718,NA
"57",73.1855833333333,16.3617703,0,0,0,0,-44.1539907744984,NA
"58",73.2139833333333,15.8703703,0,0,0,0,-62.302654226274,NA
"59",73.2139833333333,15.8976703,0,0,0,0,-56.1565940456197,NA
"60",73.2139833333333,15.9249703,0,0,0,0,-54.2101259360806,NA
"61",73.2139833333333,15.9522703,0,0,0,0,-50.7045005097161,NA
"62",73.2139833333333,15.9795703,0,0,0,0,-51.0393542260456,NA
"63",73.2139833333333,16.0068703,0,0,0,0,-51.2905259527789,NA
"64",73.2139833333333,16.0341703,0,0,0,0,-48.6367578638249,NA
"65",73.2139833333333,16.0614703,0,0,0,0,-47.3740852813211,NA
"66",73.2139833333333,16.0887703,0,0,0,0,-45.925966983956,NA
"67",73.2139833333333,16.1160703,0,0.00528961473430896,0.00176320491143632,0,-45.0055540384815,1
"68",73.2139833333333,16.1433703,0,4.82258141074374e-05,1.60752713691458e-05,0,-44.2347384595349,1
"69",73.2139833333333,16.1706703,0,0,0,0,-43.4996318038765,NA
"70",73.2139833333333,16.1979703,0,0.021193188620328,0,0,-41.315715545284,NA
"71",73.2139833333333,16.2252703,0,0.000149314595766537,0,0,-39.5948798930634,NA
