Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Family,Prey Species,Abundance,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
231,27-04-2019,,GCGN4005,Gill Net,,Pedve,Clupeidae,Sardinella gibbosa,,,Yes,1,11.3,3.2,3.7,4,4,7.48,,,
232,27-04-2019,HSGN4105,HSGN4105,Gut content,Hydrophis schistosus,Silver sillago,Sillaginidae,Sillago sihama,,,Yes,2,16.8,2.1,3.1,46,5,9.35,,,
233,27-04-2019,,GCTR4036,Trawler,,Spotted Catfish,Ariidae,Arius maculatus,,,Yes,1,13.5,2.8,3.3,45,19,35.53,,North of Malvan,
234,27-04-2019,,GCTR4037,Trawler,,Largscale tonguesole,Cynoglossidae,Cynoglossus arel,,,Yes,1,9.1,0.9,2,6,19,35.53,,North of Malvan,
235,28-04-2019,,GCGN4006,Gill Net,,Pedve,Clupeidae,Sardinella gibbosa,,,Yes,1,10.5,2.7,3.3,16,5,9.35,,,
236,29-04-2019,,GCTR4038,Trawler,,Indian oil sardine,Clupeidae,Sardinella longiceps,,,Yes,1,7.8,2.2,2.3,3,19,35.53,,North of Malvan,
237,29-04-2019,,GCTR4039,Trawler,,Shortnose ponyfish,Leiognathidae,Leiognathus brevirostris,,,Yes,1,7.6,1.7,2.9,4,19,35.53,,,
238,29-04-2019,,GCTR4040,Trawler,,Caroun croaker,Sciaenidae,Johnius carouna,,,Yes,1,8.7,1.6,2.3,9,19,35.53,,,
239,29-04-2019,,GCTR4041,Trawler,,Bartail flathead,Platycephalidae,Platycephalus indicus,,,Yes,1,9.6,1.8,1.9,6,19,35.53,,,
240,30-04-2019,,GCTR4042,Trawler,,Scaly hairfin Anchovy,Engraulidae,Setipinna taty,,,Yes,1,11.5,2.6,2.7,13,20,37.4,,,
241,30-04-2019,,GCTR4043,Trawler,,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,8.6,1.7,2.2,23,20,37.4,,,
242,30-04-2019,,GCTR4044,Trawler,,Yellowtail Scad,Carangidae,Atule mate,,,Yes,1,8.8,2.5,3.3,11,20,37.4,,,
243,30-04-2019,,GCTR4045,Trawler,,Hardenberg's Anchovy,Engraulidae,Stolephorus insularis,,,Yes,1,8.2,1.6,1.9,7,20,37.4,,,
244,30-04-2019,,GCTR4046,Trawler,,Spotted Catfish,Ariidae,Arius maculatus,,,Yes,1,11.2,3.1,2.4,26,20,37.4,,,
245,30-04-2019,,GCTR4047,Trawler,,Largscale tonguesole,Cynoglossidae,Cynoglossus arel,,,Yes,1,9.2,11.2,2.1,4,20,37.4,,,
246,01-05-2019,,GCGN4007,Gill Net,,Indian oil sardine,Clupeidae,Sardinella longiceps,,,Yes,1,12.8,2.4,2.9,33,5,9.35,,,
247,01-05-2019,,GCGN4008,Gill Net,,Strped Eel Catfish,Plotosidae,Plotosus lineatus,,,Yes,1,5,0.3,0.9,,5,9.35,,,
248,01-05-2019,,GCGN4009,Gill Net,,Strped Eel Catfish,Plotosidae,Plotosus lineatus,,,Yes,1,4.6,0.4,0.9,,5,9.35,,,
249,01-05-2019,,GCTR4048,Trawler,,Scaly hairfin Anchovy,Engraulidae,Setipinna taty,,,Yes,1,7.7,1.7,2,3,19,35.53,,Zua,
250,01-05-2019,,GCTR4049,Trawler,,Malabar Thryssa,Engraulidae,Thryssa malabarica,,,Yes,1,10.5,2.2,3.1,9,19,35.53,,Zua,
251,01-05-2019,,GCTR4050,Trawler,,Yellowtail Scad,Carangidae,Atule mate,,,Yes,1,6.7,1.1,2.6,4,19,35.53,,Zua,
252,01-05-2019,,GCTR4051,Trawler,,Large scaled terapon,Actinopterygii,Terapon puta,,,Yes,1,5.9,1.1,2.1,3,19,35.53,,Zua,
