Sr. No.,Date,Field Code,GC Code,Source,Snake Species,Local/ Common Name,Prey Family,Prey Species,Abundance,Specimen,Tissue,Condition,Standard Length (cm),Tail Length (cm),Maximum Body Girth (cm),Weight (g),Depth caught (wav),Depth caught (m),Photo No.,Location,Remarks
86,11-02-2018,HCDB17,HCDB17,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,4,,,,,,,SD DSC 9609,Malvan,
87,12-02-2018,HSMT47,HSMT47,Gut content,Hydrophis schistosus,Spiny Cheeked Grouper,Serranidae,Epinephelus sp.,,,Yes,2,9.7,2.3,2.5,9,,,No,Malvan,
88,12-02-2018,HSMT48,HSMT48,Gut content,Hydrophis schistosus,Torpedo scad,Carangidae,Megalapsis cordyla,,,Yes,3,9.4,2.4,2.4,6,,,No,Malvan,
89,12-02-2018,HSMT49,HSMT49.1,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,4,9.7,2.6,2,8,,,No,Malvan,
90,12-02-2018,HSMT49,HSMT49.2,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,10,2.4,3.8,21,,,No,Malvan,
91,12-02-2018,HSMT51,HSMT51,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,4,,,,,,,No,Malvan,
92,12-02-2018,HSMT54,HSMT54,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,4,,,,,,,No,Malvan,
93,18-02-2018,HCDB18,HCDB18.1,Gut content,Hydrophis curtus,Solefish,Cynoglossidae,Unidentified,,,,5,,,,,,,SD IMG 145644,Malvan,
94,18-02-2018,HCDB18,HCDB18.2,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,5,,,,,,,SD IMG 145602,Malvan,
95,19-02-2018,HCDB20,HCDB20,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,5,,,,,,,SD IMG 104909,Malvan,
96,23-02-2018,HCDB23,HCDB23,Gut content,Hydrophis curtus,Dussumier's thryssa,Engraulidae,Thryssa dussumieri,,,Yes,1,11.7,2.4,3.5,22,,,SD IMG 103601,Malvan,
97,24-02-2018,HCDB31,HCDB31,Gut content,Hydrophis curtus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,2,10.9,2.6,2,23,,,SD IMG 112921,Malvan,
98,25-02-2018,HCDB34,HCDB34,Gut content,Hydrophis curtus,Pony fish,Leiognathidae,Leiognathus sp.,,,,4,,,,,,,SD IMG 114250,Malvan,
99,25-02-2018,HSDB116,HSDB116,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,3,10,2.6,2.4,14,,,No,Malvan,
100,05-03-2018,,HSMT78 - 85,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,5,,,,,,,No,Tondavali,From multiple snakes
101,09-03-2018,HSDB125,HSDB125,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,3,14,2.8,4.2,34,,,TG IMG 195726450,Malvan,
102,09-03-2018,HSDB126,HSDB126,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,3,7.7,2.5,2.5,5,,,TG IMG 19535403,Malvan,
103,09-03-2018,HSDB129,HSDB129,Gut content,Hydrophis schistosus,Largescaled terapon,Teraponidae,Terapon theraps,,,Yes,1,11.7,2,4.2,30,,,TG IMG 195703992,Malvan,Stored as HSDB128
104,09-03-2018,HSDB136,HSDB136,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,13.1,3,3.7,38,,,No,Malvan,
105,11-03-2018,HSDB139,HSDB139,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,3,10.2,2.6,3.3,15,,,No,Malvan,
106,11-03-2018,HSDB140,HSDB140,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,2,14,3.2,4.5,48,,,No,Malvan,
107,12-03-2018,HSDB142,HSDB142,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,2,12.4,3,3.6,26,,,No,Malvan,
108,12-03-2018,HSDB147,HSDB147,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,2,13.2,3,3.2,35,,,No,Malvan,
109,12-03-2018,HSDB151,HSDB151,Gut content,Hydrophis schistosus,Sardine,Clupeidae,Sardinella sp.,,,Yes,2,16.6,3,4,49,,,SD IMG 130423,Malvan,Longiceps?
110,15-03-2018,HSDB157,HSDB157,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,3,8.4,2.3,2.5,6,,,No,Malvan,
111,17-03-2018,HSDB162,HSDB162,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,3,8.5,3,4.2,19,,,No,Malvan,
112,17-03-2018,HSDB163,HSDB163,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,2,14.5,4,4.7,36,,,No,Malvan,
113,22-03-2018,HSDB167,HSDB167,Gut content,Hydrophis schistosus,Indian oil sardine,Clupeidae,Sardinella longiceps,,,Yes,3,13.2,2.6,3,15,,,SD IMG 134757,Malvan,
114,22-03-2018,HSDB168,HSDB168,Gut content,Hydrophis schistosus,Indian Mackerel,Scombridae,Rastrelliger kanagurta,,,Yes,4,15,3.22,5.5,23,,,SD IMG 185400,Malvan,
115,23-03-2018,HSDB174,HSDB174,Gut content,Hydrophis schistosus,Catfish,Ariidae,Arius maculatus,,,Yes,1,11,3,3,14,,,SD IMG 091022,Malvan,
116,28-03-2018,HSDB176,HSDB176,Gut content,Hydrophis schistosus,Catfish,Ariidae,Arius caelatus,,,Yes,3,15.2,5.5,4.5,55,,,SD IMG 105143,Malvan,
117,31-03-2018,,HSMT110 - 118,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,,4,8.5,2,2,7,,,No,Aachara,
118,12-04-2018,HSDB191,HSDB191,Gut content,Hydrophis schistosus,Catfish,Ariidae,Unidentified,,,Yes,4,9.5,2.3,,,,,No,Malvan,Weight <1
119,17-04-2018,,GCMT03,Trawler,,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,Yes,1,14.8,3.2,5.2,75,15.5,28.985,No,Aachara,DL
120,17-04-2018,,GCMT04,Trawler,,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,9,1.7,2.1,21,,,No,,"GM, info with trisha"
121,18-04-2018,,GCGN01,Gill Net,,Largescaled terapon,Teraponidae,Terapon theraps,,,Yes,1,12.9,2.1,4.5,50,,,No,Kolamb,
122,30-04-2018,,GCMT05,Trawler,,Torpedo scad,Carangidae,Megalapsis cordyla,,,Yes,1,,,,,17,,No,Malvan,From Gajannan Maharaj. Forgot to take specimen measurements
123,01-05-2018,,GCMT06,Trawler,,Indian oil sadine,Clupeidae,Sardinella longiceps,,,Yes,1,14.5,4,5,41,12,22.44,No,Aachara,
124,02-05-2018,,HSDB 205-207,Gut content,Hydrophis schistosus,Sardine,Clupeidae,Unidentified,,,,3,11.5,3.4,4,13,,,Bryan,Sindhudurg Fort,"Possibly Sardinella sp. , most likely from HSDB206"
125,02-05-2018,,GCMT07,Trawler,,Gold striped pony fish ,Leiognathidae,Leiognathus daura,,,Yes,1,10.2,3.5,5,23,12.5,23.375,No,Aachara,From Gajannan Maharaj
126,03-05-2018,,GCMT08,Trawler,,Indian Mackerel,Scombridae,Rastrelliger kanagurta,,,Yes,1,13.5,3,4.5,37,,,No,,
127,04-05-2018,HSDB217,HSDB217,Gut content,Hydrophis schistosus,Pony fish,Leiognathidae,Unidentified,,,Yes,3,5.8,3.4,2.8,5,,,Trisha,,Most likely L. lineolatus 
128,06-05-2018,HSDB219,HSDB219,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,,1,8,2.8,4.5,19,,,No,,
129,06-05-2018,HSDB219,HSDB219,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,Yes,,3,7.7,2.8,5,10,,,Bryan,,
130,07-05-2018,,GCMT09,Trawler,,Largescaled terapon,Teraponidae,Terapon theraps,,,Yes,1,10,2.6,4,26,13,24.31,No,Vengurla,Om Sai - boat name
131,07-05-2018,,GCMT10,Trawler,,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,8.3,2,3.2,15,13,24.31,No,Vengurla,Om Sai - boat name
132,08-05-2018,,GCMT11,Trawler,,Dussumier's thryssa,Engraulidae,Thryssa dussumieri,,,Yes,1,12,3.2,4.1,20,,,No,Zua,
133,09-05-2018,HSDB226,HSDB226,Gut content,Hydrophis schistosus,Catfish,Ariidae,Unidentified,,,,3,3.7,1.2,0.67,,,,Trisha,,
134,09-05-2018,,GCMT12,Trawler,,Indian Mackerel,Scombridae,Rastrelliger kanagurta,,,Yes,1,11.5,2.8,4,19,,,No,,
135,10-05-2018,,GCMT13,Trawler,,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,Yes,1,12.5,3.2,5,37,10,18.7,No,Malvan,Gajanand Maharaj - Boat name
136,11-05-2018,,GCMT14,Trawler,,Indian oil sadine,Clupeidae,Sardinella longiceps,,,Yes,1,16.5,3.5,4.3,38,10,18.7,No,Malvan,
137,11-05-2018,HSDB229,HSDB229,Gut content,Hydrophis schistosus,Pony fish,Leiognathidae,Unidentified,,,,4,6,3,1.8,,,,No,,Weight <1
138,12-05-2018,,GCMT15,Trawler,,Short nosed pony fish ,Leiognathidae,Leiognathus brevirostris,,,Yes,1,10.3,3,5.5,27,15,28.05,No,South,Lairay - Boat name
139,13-05-2018,,GCMT16,Rampan,,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,15,3,5.5,115,,,No,Dandi beach,Dandi Rampan
140,08-10-2018,HSGN4001,HSDB4001,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,3,11.5,3.5,,17,,,,,Head digested completely 
141,19-10-2018,,GCMT4001,Trawler,,Torpedo scad,Carangidae,Megalapsis cordyla,,,Yes,1,15.7,3.6,4.77,47,,,,Vengurla,
142,19-10-2018,,GCMT4002,Trawler,,Largescaled terapon,Teraponidae,Terapon theraps,,,Yes,1,11.5,2,4.15,34,,,,Vengurla,
143,20-10-2018,HSGN4003,HSGN4003,Gut content,Hydrophis schistosus,Smallscaled terapon,Teraponidae,Terapon puta,,,,2,12.5,2.5,4.96,3.8,10,18.7,,Malvan,
144,20-10-2018,HSGN4004,HSGN4004,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,2,10,2.7,3,26,10,18.7,,Malvan,
145,20-10-2018,HSGN4005,HSGN4005,Gut content,Hydrophis schistosus,Pony fish,Leiognathidae,Leiognathus brevirostris,,,,2,8.3,2.5,4,15,6,11.22,YW-4446,Malvan,
146,23-10-2018,HCGN4001,HCGN4001,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,4,,,,,10,18.7,YW-8353,Malvan,Just a head 
147,27-10-2018,,GCMT4003,Trawler,,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,Yes,1,10,2.5,4.4,32,30,56.1,,Malvan,
148,28-10-2018,HSGN4008,HSGN4008,Gut content,Hydrophis schistosus,Catfish,Ariidae,Arius maculatus,,,Yes,2,14.2,3.7,3.02,48,2.5,4.675,,Malvan,
149,29-10-2018,HSGN4011,HSGN4011,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,Yes,3,13,2.5,3,38,8,14.96,,Kawada,
150,30-10-2018,HSGN4012,HSGN4012,Gut content,Hydrophis schistosus,Unidentified,Unidentified,Unidentified,,,Yes,3,,,,5,8.5,15.895,,Malvan,
151,31-10-2018,HSGN4013,HSGN4013,Gut content,Hydrophis schistosus,Pufferfish,Tetrodontidae,Unidentified,,,Yes,3,14,2.3,3.5,52,,,,Malvan,
152,01-11-2018,HCGN4004,HCGN4004,Gut content,Hydrophis curtus,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,Yes,2,10.8,2.3,3.2,50,10,18.7,,Malvan,
153,04-11-2018,HCBD4002,HCBD4002,Gut content,Hydrophis curtus,Pony fish,Leiognathidae,Leiognathus sp.,,,Yes,2,8.7,,3.2,9,,,,Malvan,Tail damaged
154,10-11-2018,HSGN4021,HSGN4021,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,3,11.4,3.4,4.7,40,11,20.57,,Malvan,
155,13-11-2018,,GCMT4004,Trawler,,Ribbonfish,Unidentified,,,,Yes,,29.5,,,11,13,24.31,,Malvan,
156,13-11-2018,,GCMT4005,Trawler,,Largescaled terapon,Teraponidae,Terapon theraps,,,Yes,,12.6,,,26,13,24.31,,Malvan,
157,13-11-2018,,GCMT4006,Trawler,,Pony fish,Leiognathidae,Megalapsis cordyla,,,Yes,,17.7,,,45,13,24.31,,Malvan,
158,13-11-2018,,GCMT4007,Trawler,,Dussumier's thryssa,Engraulidae,Thryssa dussumieri,,,Yes,,8.2,2.8,3.4,11,13,24.31,,Malvan,
159,13-11-2018,,GCMT4008,Trawler,,,Carangidae,Alepes sp.,,,Yes,,12.1,2.5,3.5,15,13,24.31,,Malvan,
160,14-11-2018,HCTR4004,HCTR4004,Gut content,Hydrophis curtus,Solefish,Cynoglossidae,Unidentified,,,Yes,3,9,,3.4,12,12,22.44,,Malvan,
161,15-11-2018,,HSRP4007-10,Gut content,Hydrophis schistosus,Catfish,Ariidae,Arius sp.,,Yes,,2,4.6,1.2,0.6,,12,22.44,,Malvan,
162,15-11-2018,,GCMT4009,Trawler,,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,,4.4,5.5,,,,,,,
163,15-11-2018,,GCMT4010,Trawler,,Largescaled terapon,Teraponidae,Terapon theraps,,,Yes,,3.1,4.1,,,,,,,
164,15-11-2018,,GCMT4011,Trawler,,,Carangidae,Alepes sp.,,,Yes,,3.3,4,,,,,,,
165,16-11-2018,HCTR4008,HCTR4008,Gut content,Hydrophis curtus,Threadfin bream,Nemepteridae,Nemepteris sp.,,,Yes,1,6.5,2.4,2.5,5,12,22.44,,Zua,
166,16-11-2018,HCTR4009,HCTR4009,Gut content,Hydrophis curtus,Pony fish,Carangidae,Alepes sp.,,,Yes,1,5.6,1.5,2.1,3,12,22.44,,Zua,
167,16-11-2018,HCTR4010,HCTR4010,Gut content,Hydrophis curtus,Anchove,Engraulidae,Unidentified,,,Yes,1,8.5,1.6,2.4,7,12,22.44,,Zua,
168,16-11-2018,HCTR4011,HCTR4011,Gut content,Hydrophis curtus,Croaker,Unidentified,Unidentified,,,Yes,1,5.3,0.9,2,,12,22.44,,Zua,
169,24-11-2018,HCTR4023,HCTR4023,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,3,6.7,,3,12,12,22.44,,Aachara,
170,24-11-2018,HSTR4030,HSTR4030,Gut content,Hydrophis schistosus,Sting fish,Unidentified,Unidentified,,,Yes,1,10,2.6,3.7,19,12,22.44,,Akre-nivti,
171,25-11-2018,HSGN4028,HSGN4028,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,2,19.8,3.5,5,63,,,,Malvan,
172,25-11-2018,HCGN4007,HCGN4007,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,,3,7.7,,3.5,19,,,,Malvan,Head present. Y.W. 715
173,30-11-2018,,GCGN4001,Gill Net,,Pedve,Clupeidae,Sardinella gibbosa,,,Yes,1,17.2,2.2,4.3,31,12,22.44,,Malvan,
174,02-12-2018,,GCTR4003,Trawler,,Whipfin silver biddy,Gerreidae,Gerres filamentosus,,,Yes,,9.9,12.1,4.3,23,10,18.7,,Vengurla,
175,10-12-2018,,GCRP4001,Rampan,,Flat head grey mullet,Mugilidae,Mugil cephalus,,,Yes,1,13.5,3,4,35,1,1.87,,Malvan,
176,11-12-2018,HSGN4049,HSGN4049,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,1,15,3.4,5.5,79,4,7.48,,Kawada,
177,11-12-2018,,HSGN4049-53,Gut content,Hydrophis schistosus,Catfish,Ariidae,Arius sp.,,,Yes,2,14.3,3.7,3,32,10,18.7,,Malvan,
178,11-12-2018,,GCTR4004,Trawler,,Largescaled terapon,Teraponidae,Terapon theraps,,,Yes,1,11,3,4.5,29,11,20.57,,Devgadh,
179,11-12-2018,,GCTR4005,Trawler,,Shrimp Scad,Carangidae,Alepes djedaba,,,Yes,1,13.5,3.7,5.3,36,11,20.57,,Devgadh,
180,11-12-2018,,GCTR4006,Trawler,,Moustached thryssa,Engraulidae,Thryssa mystax,,,Yes,1,13.5,3.6,4.5,31,11,20.57,,Devgadh,
181,14-12-2018,HSGN4054,HSGN4054,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,2,7,4,2.8,18,9,16.83,,Kawada,
182,14-12-2018,HSGN4055,HSGN4055,Gut content,Hydrophis schistosus,Strped Eel Catfish,Plotosidae,Plotosus lineatus,,,Yes,2,16,,2.5,20,9,16.83,,Kawada,
183,18-12-2018,,HSGN4057-58,Gut content,Hydrophis schistosus,Catfish,Unidentified,Unidentified,,,Yes,2,12.2,3.4,4.5,26,8,14.96,,Malvan,
184,20-12-2018,,GCTR4007,Trawler,,Indian Mackerel,Scombridae,Rastrelliger kanagurta,,,Yes,1,14.1,11.9,3.9,18,30,56.1,,Malvan,
185,20-12-2018,,GCTR4008,Trawler,,Sardine,Clupeidae,,,,Yes,1,21.4,18,5.5,66,30,56.1,,Malvan,
186,24-12-2018,,GCTR4009,Trawler,,Spiny Cheeked Grouper,Serranidae,Epinephelus diacanthus,,,Yes,1,11,13.4,3.9,20,16,29.92,,Zua,
187,24-12-2018,HCGN4022,HCGN4022,Gut content,Hydrophis curtus,Unidentified,Unidentified,Unidentified,,,Yes,2,6,1.8,2,4,,,,Malvan,SP
188,31-12-2018,HCGN4034,HCGN4034,Gut content,Hydrophis curtus,Indian Mackerel,Scombridae,Rastrelliger kanagurta,,,Yes,3,7.8,,3,20,10,18.7,,Malvan,Only head part present
189,31-12-2018,,HCGN4038-42,Gut content,Hydrophis curtus,Black spotted scad,Carangidae,Caranx heberi,,,Yes,2,6.5,1.5,2.8,7,15,28.05,,Malvan,
190,04-01-2019,HCGN4044,HCGN4044,Gut content,Hydrophis curtus,Black spotted scad,Carangidae,Caranx heberi,,,,2,,,,,11,20.57,,Malvan,Lost
191,05-01-2019,,HCGN4045-47,Gut content,Hydrophis curtus,Indian Mackerel,Scombridae,Rastrelliger kanagurta,,,,3,,,,,7,13.09,,Malvan,
192,01-02-2019,HSGN4069,HSGN4069,Gut content,Hydrophis schistosus,Smooth blassop pufferfish,Tetrodontidae,Lagocephalus inermis,,,Yes,3,17.2,3,4.5,27,10,18.7,,Malvan,
